anchor_frame,step,dx_normalized,dy_normalized,delta_yaw,dx_m,dy_m
4,0,0.4032157728546361,-0.08609190646691849,-0.2103546565859123,0.10080394321365903,-0.02152297661672962
4,1,0.3951699116008312,-0.1181508533152686,-0.08017295545729253,0.0987924779002078,-0.02953771332881715
4,2,0.3923093293420925,-0.12746997888550626,-0.02363384540134339,0.09807733233552313,-0.031867494721376566
4,3,0.39612093943168314,-0.11485056736089916,0.03196109996947438,0.09903023485792078,-0.02871264184022479
4,4,0.40456398209303424,-0.07924384982852672,0.0887745578546908,0.10114099552325856,-0.01981096245713168
4,5,0.4113026715875554,-0.027331266851740588,0.1270728523171205,0.10282566789688885,-0.006832816712935147
4,6,0.4117137373918709,0.021459157522013994,0.11842737379546264,0.10292843434796772,0.0053647893805034985
4,7,0.4071692950401733,0.0648728322562821,0.10592401471096524,0.10179232376004332,0.016218208064070525
4,8,0.3983129462118682,0.10646756220151793,0.10319165617174964,0.09957823655296705,0.026616890550379482
4,9,0.3848754505788161,0.14781419421517913,0.10549740622061599,0.09621886264470403,0.036953548553794784
4,10,0.3666059570958957,0.18858989662102071,0.10843043697775423,0.09165148927397393,0.04714747415525518
4,11,0.3433122979836165,0.22823358471520888,0.11159037106891478,0.08582807449590413,0.05705839617880222
4,12,0.04864673819577536,0.03668537065385241,0.059422977428027046,0.01216168454894384,0.009171342663463103
4,13,0.0,0.0,-0.6461312890702282,0.0,0.0
4,14,0.0,0.0,0.0,0.0,0.0
4,15,0.0,0.0,0.0,0.0,0.0
4,16,0.0,0.0,0.0,0.0,0.0
4,17,0.0,0.0,0.0,0.0,0.0
4,18,0.0,0.0,0.0,0.0,0.0
4,19,0.0,0.0,0.0,0.0,0.0
4,20,0.0,0.0,0.0,0.0,0.0
4,21,0.0,0.0,0.0,0.0,0.0
4,22,0.0,0.0,0.0,0.0,0.0
4,23,0.0,0.0,0.0,0.0,0.0
4,24,0.0,0.0,0.0,0.0,0.0
4,25,0.0,0.0,0.0,0.0,0.0
4,26,0.0,0.0,0.0,0.0,0.0
4,27,0.0,0.0,0.0,0.0,0.0
4,28,0.0,0.0,0.0,0.0,0.0
4,29,0.0,0.0,0.0,0.0,0.0
4,30,0.0,0.0,0.0,0.0,0.0
4,31,0.0,0.0,0.0,0.0,0.0
6,0,0.41103932511380714,-0.03215639306989268,-0.0780728982039541,0.10275983127845179,-0.00803909826747317
6,1,0.41209701280160493,0.012964081632425472,0.10952133656668073,0.10302425320040123,0.003241020408106368
6,2,0.40832274166454885,0.05714935206302861,0.10760947556562694,0.10208068541613721,0.014287338015757153
6,3,0.3998902696755642,0.10039509326676652,0.10691495296829867,0.09997256741889105,0.02509877331669163
6,4,0.3868034396440616,0.14271888058157822,0.10750081147172086,0.0967008599110154,0.035679720145394556
6,5,0.3691260589289609,0.1836602852323717,0.1082155166335359,0.09228151473224022,0.04591507130809293
6,6,0.34735391872220056,0.22210713429456458,0.1072166974989246,0.08683847968055014,0.055526783573641145
6,7,0.3216482680225754,0.2579264127062022,0.1069862054499966,0.08041206700564385,0.06448160317655055
6,8,0.2919570818923387,0.291098178510214,0.10803295848889105,0.07298927047308468,0.0727745446275535
6,9,0.19079052905960525,0.22986948719863043,0.09410638508596936,0.04769763226490131,0.05746737179965761
6,10,0.0,0.0,-0.8780314415256907,0.0,0.0
6,11,0.0,0.0,0.0,0.0,0.0
6,12,0.0,0.0,0.0,0.0,0.0
6,13,0.0,0.0,0.0,0.0,0.0
6,14,0.0,0.0,0.0,0.0,0.0
6,15,0.0,0.0,0.0,0.0,0.0
6,16,0.0,0.0,0.0,0.0,0.0
6,17,0.0,0.0,0.0,0.0,0.0
6,18,0.0,0.0,0.0,0.0,0.0
6,19,0.0,0.0,0.0,0.0,0.0
6,20,0.0,0.0,0.0,0.0,0.0
6,21,0.0,0.0,0.0,0.0,0.0
6,22,0.0,0.0,0.0,0.0,0.0
6,23,0.0,0.0,0.0,0.0,0.0
6,24,0.0,0.0,0.0,0.0,0.0
6,25,0.0,0.0,0.0,0.0,0.0
6,26,0.0,0.0,0.0,0.0,0.0
6,27,0.0,0.0,0.0,0.0,0.0
6,28,0.0,0.0,0.0,0.0,0.0
6,29,0.0,0.0,0.0,0.0,0.0
6,30,0.0,0.0,0.0,0.0,0.0
6,31,0.0,0.0,0.0,0.0,0.0
8,0,0.41101145859039045,-0.03236187499349436,-0.07857505121390426,0.10275286464759761,-0.00809046874837359
8,1,0.41208017509525685,0.013076785060243602,0.11029799972781706,0.10302004377381421,0.0032691962650609006
8,2,0.4082914981812442,0.05733422841168094,0.10778954602473956,0.10207287454531105,0.014333557102920235
8,3,0.39987549067379136,0.10047252019764392,0.10665123883130434,0.09996887266844784,0.02511813004941098
8,4,0.3869194483824301,0.14242294765805977,0.10653915931549607,0.09672986209560752,0.03560573691451494
8,5,0.369441756401478,0.18301889589371023,0.10725240668147862,0.0923604391003695,0.04575472397342756
8,6,0.3472311319482717,0.22228384008219237,0.10947212351863733,0.08680778298706793,0.055570960020548094
8,7,0.09678123468883415,0.07234389077447889,0.0724712203844744,0.024195308672208538,0.018085972693619723
8,8,0.0,0.0,-0.6418986432700438,0.0,0.0
8,9,0.0,0.0,0.0,0.0,0.0
8,10,0.0,0.0,0.0,0.0,0.0
